effect	emitters	nTex	textures	blendModes(src/dst)
jor_dun01	95	3	effect\dust03.bmp;effect\issgard_d_100.bmp;effect\smoke3.bmp	2/2;9/2
jor_dun02	58	1	effect\smoke3.bmp	2/2;5/2
jor_dun03	10	7	7 textures	2/2;2/7;9/2;9/7
jor_maze	47	1	effect\smoke3.bmp	2/2
jor_nest	16	5	effect\12 copy.bmp;effect\hole_y_01.bmp;effect\light_y_01.bmp;effect\smoke3.bmp;effect\water_light01.bmp	2/2
jor_que	58	1	effect\smoke3.bmp	2/2;5/2
jor_root1	37	3	effect\all_fire_03.bmp;effect\firee_b.bmp;effect\smoke3.bmp	10/2;10/7;2/2;5/2;5/7
jor_root2	39	3	effect\all_fire_03.bmp;effect\firee_b.bmp;effect\smoke3.bmp	10/2;10/7;2/2;5/2;5/7
jor_root3	119	2	effect\bubble03.bmp;effect\smoke3.bmp	10/2;10/4;2/2;2/4;5/2;5/4
jor_safty1	29	3	effect\12 copy.bmp;effect\snake_light_1.bmp;smoke2.bmp	10/2;2/2
jor_safty2	13	1	effect\smoke3.bmp	10/2;2/2
jor_sanct	166	4	effect\all_fire_03.bmp;effect\dro_y_04.bmp;effect\firee_b.bmp;effect\smoke3.bmp	10/2;10/7;2/2;2/7;5/2;5/7
jor_tail	83	6	effect\fish_y_01.bmp;effect\fish_y_02.bmp;effect\fish_y_03.bmp;effect\snake_04.bmp;effect\snake_light_1.bmp;smoke2.bmp	10/2;10/4;11/2;11/4;2/2;2/4
jor_twice	224	12	12 textures	10/2;10/4;11/2;11/4;2/2;2/4;5/2;5/4
jor_twig	84	10	10 textures	10/2;10/4;11/2;11/4;2/2;2/4;5/2
lasa_dun01	118	4	effect\a-2.bmp;effect\a.bmp;effect\b.bmp;smoke2.bmp	5/2;7/2
lasa_dun02	186	3	effect\a-2.bmp;effect\a.bmp;effect\smoke3.bmp	5/2;7/2
lasa_dun03	274	3	effect\a-2.bmp;effect\smoke2.bmp;smoke2.bmp	5/2;7/2;9/2
lasa_dun_q	274	3	effect\a-2.bmp;effect\smoke2.bmp;smoke2.bmp	5/2;7/2;9/2
lasa_fild01	0	0		
lasa_sea	87	3	effect\a-2.bmp;effect\a.bmp;smoke2.bmp	5/2;9/2
lasagna	19	1	smoke2.bmp	5/2;9/2
ma_scene01	36	1	smoke2.bmp	5/2
malangdo	6	1	smoke2.bmp	5/2
mjo_wst01	153	2	effect\15 copy.bmp;smoke2.bmp	5/2;5/4
moro_cav	22	1	smoke2.bmp	5/2
moro_vol	2	1	smoke2.bmp	5/2
morocc	81	1	smoke2.bmp	10/2
nakhyang	7	1	smoke2.bmp	5/2
nif_dun01	55	7	7 textures	5/2;9/2
nif_dun02	90	19	19 textures	5/2;7/2;9/2
odin_past	30	4	effect\13 copy.bmp;effect\a.bmp;effect\water_light_02.bmp;smoke2.bmp	5/2;9/2
oz_dun01	22	4	effect\smoke3.bmp;effect\star02_1.bmp;effect\water_light_03.bmp;smoke2.bmp	10/2;10/4;5/2;7/2
oz_dun02	107	4	effect\all_fire_03.bmp;effect\firee.bmp;effect\lord_blast_c.bmp;effect\smoke3.bmp	10/2;10/4;5/2;5/4
paramk	8	1	smoke2.bmp	5/2
pay_d03_i	70	1	smoke2.bmp	5/2
prontera	3	1	effect\smoke1.bmp	9/2
prt_cas	68	3	effect\12 copy.bmp;effect\dust_part.bmp;effect\smoke2.bmp	5/2;9/2
prt_cas_q	7	1	smoke2.bmp	5/2
prt_church	13	1	smoke2.bmp	5/2;9/2
prt_elib	14	1	effect\smoke2.bmp	9/2
prt_in	15	1	smoke2.bmp	5/2
prt_lib	2	1	smoke2.bmp	9/2
prt_lib_q	2	1	smoke2.bmp	9/2
prt_mz03_i	111	2	effect\smoke2.bmp;smoke2.bmp	10/2;10/7;2/2;2/7;9/2;9/7
prt_prison	51	1	smoke2.bmp	5/2;5/4;9/2;9/4
prt_q	26	1	smoke2.bmp	5/2
pub_cat	39	1	smoke2.bmp	5/2
pud_land	47	4	effect\c.bmp;effect\ring_b.bmp;effect\smoke2.bmp;smoke2.bmp	5/2;7/2;9/2
que_swat	87	1	smoke2.bmp	9/2
que_thr	0	0		
ra_pol01	27	3	effect\all_fire_03.bmp;effect\firee.bmp;effect\smoke3.bmp	10/2;2/2;2/7
ra_temple	161	10	10 textures	10/2;2/2;2/7;5/2;5/4;5/7;9/2
rebel_in	34	1	smoke2.bmp	5/2
rockrdg1	94	1	smoke2.bmp	10/2
rockrdg2	95	1	smoke2.bmp	10/2
slabw01	185	2	effect\shockwave_d.bmp;smoke2.bmp	5/2;9/2
sp_cor	30	2	effect\bbbb.bmp;effect\boom.bmp	5/2
sp_rudus	41	1	smoke2.bmp	9/2
sp_rudus2	53	1	smoke2.bmp	9/2
sp_rudus3	55	1	smoke2.bmp	9/2
sp_rudus4	117	3	effect\smoke3.bmp;effect\star02_1.bmp;smoke2.bmp	5/2;9/2
star_frst	18	2	effect\13 copy.bmp;effect\freeze.bmp	5/2
t_garden	72	9	9 textures	5/2
tur_d03_i	83	1	smoke2.bmp	5/2
tur_d04_i	75	1	smoke2.bmp	5/2
verus01	81	1	smoke2.bmp	5/2
verus03	24	1	smoke2.bmp	5/2
vr_bob	1	1	effect\smoke2.bmp	
wolfvill	151	8	8 textures	10/2;10/7;2/2;2/7;5/2;5/4;5/7
x_prt_evt	178	9	9 textures	10/2;2/2;5/2;5/4;9/2;9/4
x_prt_in	2	1	smoke2.bmp	5/2
