# RobeNameTable_Eng (n=315) from spriterobename.lub
ROBE_2018_RTC_Cape1_TW	2018_RTC_Cape1_TW
ROBE_C_Big_Lollipop	C_Big_Lollipop
ROBE_C_Big_Magic_Book	C_Big_Magic_Book
ROBE_C_Big_Piske_Bag	C_Big_Piske_Bag
ROBE_C_Big_Ribbon_Cloak	C_Big_Ribbon_Cloak
ROBE_C_Big_Ribbon_Cloak_WH	C_Big_Ribbon_Cloak_WH
ROBE_C_Big_Shuriken	C_Big_Shuriken
ROBE_C_Big_Treasure_Chest	C_Big_Treasure_Chest
ROBE_C_Big_Usagi_Bag	C_Big_Usagi_Bag
ROBE_C_BlackBear_Back_TW	C_BlackBear_Back_TW
ROBE_C_Blessed_Veil	C_Blessed_Veil
ROBE_C_Bloody_Murderer_Knife	C_Bloody_Murderer_Knife
ROBE_C_Bloody_Wing	C_Bloody_Wing
ROBE_C_BlueAngeling_Wing	C_BlueAngeling_Wing
ROBE_C_Blue_Magpie	C_Blue_Magpie
ROBE_C_Blue_Rose_Garden	C_Blue_Rose_Garden
ROBE_C_Blue_Rose_Parasol	C_Blue_Rose_Parasol
ROBE_C_Bolo_MSP	C_Bolo_MSP
ROBE_C_CAPOO_Bag_TW	C_CAPOO_Bag_TW
ROBE_C_CLB_BS_Bag_B	C_CLB_BS_Bag_B
ROBE_C_CLB_BS_Bag_F	C_CLB_BS_Bag_F
ROBE_C_CLB_BS_Bag_GF	C_CLB_BS_Bag_GF
ROBE_C_CLB_BS_Bag_GM	C_CLB_BS_Bag_GM
ROBE_C_CLB_BS_Bag_M	C_CLB_BS_Bag_M
ROBE_C_CLB_DT_TS_Wing	C_CLB_DT_TS_Wing
ROBE_C_CLB_HM_Noni	C_CLB_HM_Noni
ROBE_C_CLB_KP_DMS	C_CLB_KP_DMS
ROBE_C_CLB_SS_LT	C_CLB_SS_LT
ROBE_C_Call_Octo	C_Call_Octo
ROBE_C_Cat_Doll_WH	C_Cat_Doll_WH
ROBE_C_Cat_Donut_TW	C_Cat_Donut_TW
ROBE_C_Cat_Fork	C_Cat_Fork
ROBE_C_Clock_Rod	C_Clock_Rod
ROBE_C_Clutch_Bouquet	C_Clutch_Bouquet
ROBE_C_Cursed_Serpent	C_Cursed_Serpent
ROBE_C_Cyber_Rifle	C_Cyber_Rifle
ROBE_C_Cyber_Sword	C_Cyber_Sword
ROBE_C_Dark_Lord_Cloak	C_Dark_Lord_Cloak
ROBE_C_Dark_Lord_Manteau	C_Dark_Lord_Manteau
ROBE_C_Darklord_Aura	C_Darklord_Aura
ROBE_C_Defense_Shield	C_Defense_Shield
ROBE_C_Demi_Freyja_Wing	C_Demi_Freyja_Wing
ROBE_C_Detective_Mag_Glass	C_Detective_Mag_Glass
ROBE_C_Diabolic_Friend	C_Diabolic_Friend
ROBE_C_Diabolic_Rock_Guitar	C_Diabolic_Rock_Guitar
ROBE_C_Dimensional_Sword	C_Dimensional_Sword
ROBE_C_Divine_Phoenix	C_Divine_Phoenix
ROBE_C_Doram_Paw_Hammer	C_Doram_Paw_Hammer
ROBE_C_Eddga_Rest	C_Eddga_Rest
ROBE_C_Elec_Guitar_Of_Phen	C_Elec_Guitar_Of_Phen
ROBE_C_Evil_Double_Edged	C_Evil_Double_Edged
ROBE_C_Evil_Druid_Cross	C_Evil_Druid_Cross
ROBE_C_Evil_Scythe	C_Evil_Scythe
ROBE_C_FB_EvilSprit	C_FB_EvilSprit
ROBE_C_FH_Lostwing	C_FH_Lostwing
ROBE_C_Filir_Bag	C_Filir_Bag
ROBE_C_Flower_Wing	C_Flower_Wing
ROBE_C_Forest_S_Vacation	C_Forest_S_Vacation
ROBE_C_G_DaeHyon_Sword_TW	C_G_DaeHyon_Sword_TW
ROBE_C_Galapago_Aquarium	C_Galapago_Aquarium
ROBE_C_Garmbebe_Bag	C_Garmbebe_Bag
ROBE_C_GiantCatBag_JP_BL	C_GiantCatBag_JP_BL
ROBE_C_Giant_Angeling	C_Giant_Angeling
ROBE_C_Giant_Chained_Bear	C_Giant_Chained_Bear
ROBE_C_Giant_Mad_Bunny	C_Giant_Mad_Bunny
ROBE_C_Giant_Shark	C_Giant_Shark
ROBE_C_Giant_Teddy_Bear	C_Giant_Teddy_Bear
ROBE_C_Giant_White_Rabbit	C_Giant_White_Rabbit
ROBE_C_Gimmick_One_Feather	C_Gimmick_One_Feather
ROBE_C_Glass_Rose_Garden	C_Glass_Rose_Garden
ROBE_C_GoldButterfly_Wing	C_GoldButterfly_Wing
ROBE_C_Guardian_Angelwing	C_Guardian_Angelwing
ROBE_C_Guardian_Butterwing	C_Guardian_Butterwing
ROBE_C_Guardian_Wingdeco	C_Guardian_Wingdeco
ROBE_C_HDP_Scythe	C_HDP_Scythe
ROBE_C_Heart_Stick_Choco	C_Heart_Stick_Choco
ROBE_C_Heart_Wing_Backpack	C_Heart_Wing_Backpack
ROBE_C_Hemel_Sword	C_Hemel_Sword
ROBE_C_Herald_Of_GOD	C_Herald_Of_GOD
ROBE_C_Honey_Dipper	C_Honey_Dipper
ROBE_C_Hooked_Straw_Hat	C_Hooked_Straw_Hat
ROBE_C_I_Samurai_Sword	C_I_Samurai_Sword
ROBE_C_Ice_Wing	C_Ice_Wing
ROBE_C_Immortal_H_Spear	C_Immortal_H_Spear
ROBE_C_Immortal_H_Spear_J	C_Immortal_H_Spear_J
ROBE_C_Immortal_H_Wing	C_Immortal_H_Wing
ROBE_C_JP_EV16	C_JP_EV16
ROBE_C_JP_EV17	C_JP_EV17
ROBE_C_JP_EV19	C_JP_EV19
ROBE_C_J_Umbrella	C_J_Umbrella
ROBE_C_Juncea_Wing	C_Juncea_Wing
ROBE_C_Katana_TenguMaster	C_Katana_TenguMaster
ROBE_C_Key_To_Happiness	C_Key_To_Happiness
ROBE_C_Kings_Twin_Sword	C_Kings_Twin_Sword
ROBE_C_Knights_Sword_Shield	C_Knights_Sword_Shield
ROBE_C_Kyel_hyre_Ulti_TW	C_Kyel_hyre_Ulti_TW
ROBE_C_Labrys	C_Labrys
ROBE_C_Lapine_Wing	C_Lapine_Wing
ROBE_C_Leaf_Umbrella	C_Leaf_Umbrella
ROBE_C_Leticia_Wing	C_Leticia_Wing
ROBE_C_Libra_Wing	C_Libra_Wing
ROBE_C_Loli_Ruri_Moon	C_Loli_Ruri_Moon
ROBE_C_Loli_Ruri_Moon_B	C_Loli_Ruri_Moon_B
ROBE_C_Lord_Of_Death_Shield	C_Lord_Of_Death_Shield
ROBE_C_Lunatic_Bag	C_Lunatic_Bag
ROBE_C_Mainspring_Screw	C_Mainspring_Screw
ROBE_C_Mechanical_Butterfly	C_Mechanical_Butterfly
ROBE_C_Mechanical_Fairy_Wing	C_Mechanical_Fairy_Wing
ROBE_C_Melody_Wing	C_Melody_Wing
ROBE_C_Melon_Cream_Soda	C_Melon_Cream_Soda
ROBE_C_Milky	C_Milky
ROBE_C_Moonlight_Bell	C_Moonlight_Bell
ROBE_C_Muranyasa	C_Muranyasa
ROBE_C_Mushroom_Umbrella_RD	C_Mushroom_Umbrella_RD
ROBE_C_Mystical_Wing	C_Mystical_Wing
ROBE_C_N_Mad_Bunny	C_N_Mad_Bunny
ROBE_C_Nifl_Bloom	C_Nifl_Bloom
ROBE_C_Nifl_Bloom_RD	C_Nifl_Bloom_RD
ROBE_C_Niflheim_Key	C_Niflheim_Key
ROBE_C_Ninetail_Tail	C_Ninetail_Tail
ROBE_C_Ninetail_Tail_WH	C_Ninetail_Tail_WH
ROBE_C_Nydhog_Rumor	C_Nydhog_Rumor
ROBE_C_Papilio_Ulysses_Feather	C_Papilio_Ulysses_Feather
ROBE_C_Paw_Bag	C_Paw_Bag
ROBE_C_Phaya_Ploeng_Suriyan	C_Phaya_Ploeng_Suriyan
ROBE_C_PinkButterfly_Wing	C_PinkButterfly_Wing
ROBE_C_PinkButterfly_Wing_T	C_PinkButterfly_Wing
ROBE_C_Pitaya_B_Bag	C_Pitaya_B_Bag
ROBE_C_Pitaya_GG_Parfait	C_Pitaya_GG_Parfait
ROBE_C_Pitaya_G_Bag	C_Pitaya_G_Bag
ROBE_C_Pitaya_R_Bag	C_Pitaya_R_Bag
ROBE_C_Pitaya_V_Bag	C_Pitaya_V_Bag
ROBE_C_Pitaya_Y_Bag	C_Pitaya_Y_Bag
ROBE_C_Plant_Outing_Set	C_Plant_Outing_Set
ROBE_C_Popcorn_Bucket	C_Popcorn_Bucket
ROBE_C_Popcorn_Bucket2	C_Popcorn_Bucket2
ROBE_C_Pope_Doll	C_Pope_Doll
ROBE_C_Poring_Basket	C_Poring_Basket
ROBE_C_Poring_Cream_Soda	C_Poring_Cream_Soda
ROBE_C_Poring_Swim_Ring	C_Poring_Swim_Ring
ROBE_C_Poring_Syringe	C_Poring_Syringe
ROBE_C_Power_Cable	C_Power_Cable
ROBE_C_Put_On_Coat	C_Put_On_Coat
ROBE_C_Qualifier_1st	C_Qualifier_1st
ROBE_C_Qualifier_2nd	C_Qualifier_2nd
ROBE_C_Qualifier_3rd	C_Qualifier_3rd
ROBE_C_ROS2023_Cape_1	C_ROS2023_Cape_1
ROBE_C_ROS2023_Cape_2	C_ROS2023_Cape_2
ROBE_C_ROS2024_Wing_1	C_ROS2024_Wing_1
ROBE_C_ROS2024_Wing_2	C_ROS2024_Wing_2
ROBE_C_ROS2024_Wing_3	C_ROS2024_Wing_3
ROBE_C_ROS2024_Wing_4	C_ROS2024_Wing_4
ROBE_C_Rabbit_Tail	C_Rabbit_Tail
ROBE_C_Ragdoll_Face_Bag	C_Ragdoll_Face_Bag
ROBE_C_Rata_Tail	C_Rata_Tail
ROBE_C_Resurrection_Bow	C_Resurrection_Bow
ROBE_C_Ribbon_R_Bag	C_Ribbon_R_Bag
ROBE_C_Rifle	C_Rifle
ROBE_C_Rose_Gothic_Ribbon	C_Rose_Gothic_Ribbon
ROBE_C_Rotating_Gears	C_Rotating_Gears
ROBE_C_S_Beelzebub_Wing	C_S_Beelzebub_Wing
ROBE_C_Sakura_Branch	C_Sakura_Branch
ROBE_C_Sakura_Fes_TW	C_Sakura_Fes_TW
ROBE_C_Sakura_Rod	C_Sakura_Rod
ROBE_C_Sakura_Rod_PK	C_Sakura_Rod_PK
ROBE_C_Sakura_Wing	C_Sakura_Wing
ROBE_C_Samba_Carnival	C_Samba_Carnival
ROBE_C_Sandalphon_Wing_TW	C_Sandalphon_Wing_TW
ROBE_C_Scepter	C_Scepter
ROBE_C_Scepter_SV	C_Scepter_SV
ROBE_C_School_Bag_BL	C_School_Bag_BL
ROBE_C_School_Bag_BU	C_School_Bag_BU
ROBE_C_School_Bag_PU	C_School_Bag_PU
ROBE_C_School_Bag_RD	C_School_Bag_RD
ROBE_C_Seraphim_Wing_TW	C_Seraphim_Wing_TW
ROBE_C_Shiba_Tail	C_Shiba_Tail
ROBE_C_Sixth_Sense_Satan	C_Sixth_Sense_Satan
ROBE_C_Skia_Doll	C_Skia_Doll
ROBE_C_Snow_Powder	C_Snow_Powder
ROBE_C_Soldier_Backpack	C_Soldier_Backpack
ROBE_C_Songkran_Watergun	C_Songkran_Watergun
ROBE_C_Sorcerer_Cape	C_Sorcerer_Cape
ROBE_C_Spoon_Fork_Set	C_Spoon_Fork_Set
ROBE_C_Starrysky_Fountainpen	C_Starrysky_Fountainpen
ROBE_C_Stylish_Arch_Quiver	C_Stylish_Arch_Quiver
ROBE_C_Sudden_Wealth_TW	C_Sudden_Wealth_TW
ROBE_C_Surf_Board	C_Surf_Board
ROBE_C_Surf_Board_Poring	C_Surf_Board_Poring
ROBE_C_Sweet_Flower_Garden	C_Sweet_Flower_Garden
ROBE_C_Sweet_Folk	C_Sweet_Folk
ROBE_C_T_Bear_Bag	C_T_Bear_Bag
ROBE_C_Tan_Spear	C_Tan_Spear
ROBE_C_Traveller_Bag	C_Traveller_Bag
ROBE_C_Triple_Ice_Cream	C_Triple_Ice_Cream
ROBE_C_Tris_Sword	C_Tris_Sword
ROBE_C_Twin_Edge	C_Twin_Edge
ROBE_C_Unicorn_Fan_trav	C_Unicorn_Fan_trav
ROBE_C_Valkyrie_Spear	C_Valkyrie_Spear
ROBE_C_Valkyrie_Wing	C_Valkyrie_Wing
ROBE_C_Vietnam_flag_hood	C_Vietnam_flag_hood
ROBE_C_Vietnam_flag_hood_JP	C_Vietnam_flag_hood_JP
ROBE_C_Wedding_Ribbon	C_Wedding_Ribbon
ROBE_C_White_Fox_Tail	C_White_Fox_Tail
ROBE_C_Wing_Of_Eutaxy	C_Wing_Of_Eutaxy
ROBE_C_Wings_of_Gabriel	C_Wings_of_Gabriel
ROBE_Calabash	Calabash
ROBE_CherryFesRibbon	CherryFesRibbon
ROBE_Chrismas_Tree	Chrismas_Tree
ROBE_Cupid_Wing_Pink	Cupid_Wing_Pink
ROBE_Cupid_Wing_Skyblue	Cupid_Wing_Skyblue
ROBE_Day_of_the_Dead	Day_of_the_Dead
ROBE_DevilWing	Devil_Wing
ROBE_EXE_Backpack	EXE_Backpack
ROBE_Fairy_Of_Eden	Fairy_Of_Eden
ROBE_Gerhard_Von_Devi_Bag	Gerhard_Von_Devi_Bag
ROBE_GiantCatBag	GiantCatBag
ROBE_Giant_Mad_Bunny_TW_LT	Giant_Mad_Bunny_TW_LT
ROBE_Glutton_Cerberus	Glutton_Cerberus
ROBE_GraetDevilWing	GraetDevilWing
ROBE_GreatDevilWing2	GreatDevilWing2
ROBE_Guardian_Of_Abyss	Guardian_Of_Abyss
ROBE_Halloween_Poring_Bag	Halloween_Poring_Bag
ROBE_Hanwha_Pool_Ring	Hanwha_Pool_Ring
ROBE_HeartChocoBag	HeartChocoBag
ROBE_Huse_Luk_R_Wing	Huse_Luk_R_Wing
ROBE_Huse_Luk_R_Wing_LT	Huse_Luk_R_Wing_LT
ROBE_KIRIN_WING	KIRIN_WING
ROBE_Light_Darkness_Wing	Light_Darkness_Wing
ROBE_Lop_Bunny_Cloak	Lop_Bunny_Cloak
ROBE_Love_Dad_Wings_2012	Love_Dad_Wings_2012
ROBE_Magnus_Dominus	Magnus_Dominus
ROBE_MechanicWing	MechanicWing
ROBE_Olympus_Wing_LT	Olympus_Wing_LT
ROBE_Poporing_Pool_Ring	Poporing_Pool_Ring
ROBE_Poring_Bag	Poring_Bag
ROBE_RUDRA_WING	Rudra_Wing
ROBE_Rainbow_Shell	Rainbow_Shell
ROBE_Ribbon_Piamat	Ribbon_Piamat
ROBE_Ru_Bear_Bag	Ru_Bear_Bag
ROBE_S_G_Manteau_LT_TW	S_G_Manteau_LT_TW
ROBE_SantaTeddyBear	SantaTeddyBear
ROBE_Santa_Backpack	Santa_Backpack
ROBE_SnackParty	SnackParty
ROBE_Stellar_Gratia	Stellar_Gratia
ROBE_Striking_Mikoshi	Striking_Mikoshi
ROBE_SwordWing	SwordWing
ROBE_Tele_WG_Cape	Tele_WG_Cape
ROBE_Ten_G_Shield_TW	Ten_G_Shield_TW
ROBE_Thanatos_Sword	Thanatos_Sword
ROBE_Valkyrie_Curse_blight	Valkyrie_Curse_blight
ROBE_Violet_Halo	Violet_Halo
ROBE_WINGS	ANGEL_WINGS
ROBE_WINGS_OF_FALLEN_ANGEL	WINGS_OF_FALLEN_ANGEL
ROBE_Whale_Shark_Float	Whale_Shark_Float
ROBE_WingOfHeart	WingOfHeart
ROBE_Wing_Of_Angel_Move	Wing_Of_Angel_Move
ROBE_Wing_Of_Angel_Move_BK	Wing_Of_Angel_Move_BK
ROBE_Wing_Of_Angel_Move_DG	Wing_Of_Angel_Move_DG
ROBE_Wing_Of_Angel_Move_GD	Wing_Of_Angel_Move_GD
ROBE_Wing_Of_Angel_Move_GR	Wing_Of_Angel_Move_GR
ROBE_Wing_Of_Angel_Move_RB	Wing_Of_Angel_Move_RB
ROBE_Wing_Of_Angel_Move_RD	Wing_Of_Angel_Move_RD
ROBE_Wing_Of_Happiness	Wing_Of_Happiness
ROBE_Wing_Of_Spider	Wing_Of_Spider
ROBE_Wings_Of_Lucifer	Wings_Of_Lucifer
ROBE_Wings_Of_Raguel	Wings_Of_Raguel
ROBE_Wings_Of_Raphael	Wings_Of_Raphael
ROBE_Wings_of_Michael	Wings_of_Michael
ROBE_Wings_of_Uriel	Wings_of_Uriel
