skillId	SKID	name	target	castMs	actDelayMs	dur1Ms	effectFn	effectId	textures	castWav	geometry_anchor	clientEffectMs
79	PR_MAGNUS	Magnus Exorcismus	2	15000	4000	5000	FUN_005d92c0	0x71	(ground .str)	priest\magnus	ground AoE	9999
80	WZ_FIREPILLAR	Fire Pillar	2	3000	1000	30000	FUN_005d8c40/FUN_005d8cb0	-	(flame column .str)	fire_pillar_a/b	set(f75) + trigger(f0), shake	(ext .str)
81	WZ_SIGHTRASHER	Sightrasher	4	700	2000	500	FUN_005ce790	-	DAT_006dc2a4 + Shadow.spr + ring_yellow.tga	wizard\sightrasher	16 radial shards + ground ring	(ext .str)
83	WZ_METEOR	Meteor Storm	2	15000	2000	500	FUN_005d8bb0/FUN_005d8090	-	(meteor rocks .str) + blastmine	wizard\meteor / meteo	falling meteors, shake @ f40/50s, ground	(ext .str)
84	WZ_JUPITEL	Jupitel Thunder	1	2500	0	0	FUN_005d1480	-	thunder_pang.bmp + thunder_plazma_blast_a/b.bmp	(thunder)	thunder ball → target, ground plasma	(ext .str)
85	WZ_VERMILION	Lord of Vermilion	2	15000	5000	4000	FUN_005d1cb0	-	thunder_center.bmp + alpha_center.tga (20 strikes)	(thunder)	ground AoE, 20 random bolts, life 70	(ext .str)
86	WZ_WATERBALL	Water Ball	1	1000	0	0	FUN_005d2ff0/FUN_005d31e0	-	water_out_a/b/c.bmp (splash) / DAT_006dc880 .spr (bolt)	waterball_chulung	splash ring + caster→target bolt	(ext .str)
87	WZ_ICEWALL	Ice Wall	2	0	0	5000	FUN_005cf710	-	ice.tga (3 shards, life 9999)	wizard\icewall	stacked persistent ground shards	(ext .str)
89	WZ_STORMGUST	Storm Gust	2	6000	5000	4600	FUN_005d82e0	-	ice.tga	wizard\stormgust	swirl ice-shard blizzard, 2 shards/29f, ground	(ext .str)
90	WZ_EARTHSPIKE	Earth Spike	1	1000	700	0	FUN_005cf9f0	-	stone.bmp / ice.tga	wizard\earthspike	1 center + 10 radial spikes	(ext .str)
91	WZ_HEAVENDRIVE	Heaven's Drive	2	1000	700	500	FUN_005d5010	-	stone.bmp (5x5=25 spikes)	wizard\earthspike	25-cell stone-spike grid, shake	(ext .str)
92	WZ_QUAGMIRE	Quagmire	2	0	1000	5000	FUN_005d8b30	-	(ground .str)	wizard\quagmire	sound-only + persistent .str	(ext .str)
108	BS_REPAIRWEAPON	Weapon Repair	16	7500	0	0	FUN_005d8d20	-	(none)	black_weapon_repair_a	sound-only (2 strikes f20/f55)	(ext .str)
111	BS_ADRENALINE	Adrenaline Rush	4	0	0	30000	FUN_005d1860	-	alpha_center.tga	black_adrenalinerush_a/b	20 sparks + 4-arm ring, caster, life 300	(ext .str)
112	BS_WEAPONPERFECT	Weapon Perfection	4	0	0	10000	FUN_005d8e70	-	(none)	black_weapon_perfection	sound-only	(ext .str)
113	BS_OVERTHRUST	Power-Thrust	4	0	0	20000	FUN_005d4850	-	alpha_center.tga	black_overthrust + EF_StoneCurse	1 aura, life 9999 (buff), caster	(ext .str)
114	BS_MAXIMIZE	Maximize Power	4	0	0	1000	FUN_005d8ee0	-	(none)	black_maximize_power_circle/sword	sound-only, torso	(ext .str)
115	HT_SKIDTRAP	Skid Trap	2	0	0	300000	FUN_005d7df0	-	(trap stock .spr)	hunter\skidtrap	torso billboard	(ext .str)
118	HT_SHOCKWAVE	Shockwave Trap	2	0	0	200000	FUN_005d0f50	-	thunder_center.bmp / twirl_soft.bmp + thunder_ball_a..f	hunter\shockwavetrap	flat ground swirl + 6-frame ball	(ext .str)
120	HT_FLASHER	Flasher	2	0	0	150000	FUN_005d1cb0	-	thunder_center.bmp + alpha_center.tga	hunter\flasher	central flash + 20 spark streaks, ground	(ext .str)
122	HT_BLASTMINE	Blast Mine	2	0	0	25000	FUN_005d9040	-	(stock)	hunter\blastmine	torso billboard	(ext .str)
129	HT_BLITZBEAT	Blitz Beat	1	1500	1000	0	FUN_005d2350	-	ac_center2.tga (debris) + magic_green.tga (per-hit)	hunter\blitzbeat	falcon dive: 10 motes + green ground burst/hit	(ext .str)
130	HT_DETECTING	Detect	2	-	-	-	FUN_005d35e0	-	fashasha.tga	hunter\detecting	expanding flat ground ripple ring	(ext .str)
135	AS_CLOAKING	Cloaking	4	0	0	500	FUN_005d37d0	-	(white fade)	cloaking	50f white fade, caster	(ext .str)
136	AS_SONICBLOW	Sonic Blow	1	0	2000	0	FUN_005d3a10	-	magic_red.tga	assasin\sonicblow	12 red slash motes, caster	(ext .str)
138	AS_ENCHANTPOISON	Enchant Poison	16	0	0	30000	FUN_005d43b0	-	green poison motes (DAT_006dc950, type5)	enchantpoison	40 rising green motes/5f, caster	(ext .str)
211	RG_STEALCOIN	Mug	1	-	-	-	FUN_005bd3d0 (case 0x112)	0x112	coin_a.bmp	rog_steal_coin	30 coin sprites fountain, caster feet	300
212	RG_BACKSTAP	Back Stab	1	0	500	0	FUN_005bd3d0 (case 0x113)	0x113	thunder_center.bmp	rog_back_stap	white flash burst, sound @ f20, target	300
219	RG_INTIMIDATE	Snatch	1	-	-	-	FUN_005bd3d0 (case 0xe3)	0xe3	white01.bmp	EF_Bash + rog_intimidate	20 white ground streaks, caster feet	999
251	CR_SHIELDBOOMERANG	Shield Boomerang	1	0	700	0	FUN_005e1b60	0x3	shield_boomerang.bmp / 토마.bmp	cru\shield_boomerang	spinning shield caster→target	50
253	CR_HOLYCROSS	Holy Cross	1	0	0	0	None	0xf5	(.str)	cru\holy_cross	data-driven	499
254	CR_GRANDCROSS	Grand Cross	4	2000	1500	900	FUN_005feeb0	0xe2	ring_white/black + cross_old.bmp + explosive_1_128.bmp + alpha_center.tga	cru\grand_cross	4 crosses N/E/S/W + beams + blast + flash, ground	999
271	MO_EXTREMITYFIST	Asura Strike	1	4000	3000	0	FUN_005db010	0x148	ring_white.tga (2 circles) + asura1..16.tga	apocalips_attack + EF_BeginSpell	16-tile Asura wall sheets, upright additive, param mirror; life ~350	1000
276	SA_MAGICROD	Magic Rod	4	0	0	400	FUN_0060f330	-	(none)	sage_magic_rod	sound + position lock only	(ext .str)
379	ASC_BREAKER	Soul Destroyer	1	700	1000	0	FUN_005db750	-	soul_s/o/u/l + soul_k/n/i/l.tga	(soul breaker)	2 upright glyph-strip sheets streaking to target	(ext .str)
9999	AL_SIGNUMCRUCIS	AL_SIGNUMCRUCIS	?	-	-	-	FUN_005d7810	0x28	alpha_down.tga (column) + alpha_center.tga (14 motes)	EF_Signum + EF_Bash	caster, fires @ f30	999
9999	SA_INCREASEAGI	SA_INCREASEAGI	?	-	-	-	FUN_005c6f80	-	dex_agi_up.bmp + ac_center2.tga	EF_IncAgiDex	target: rising plume	(ext .str)
9999	AS_VENOMSPLASHER	AS_VENOMSPLASHER	?	-	-	-	FUN_005d9480	0x81	VenomSplasher.str	venomsplasher	.str, sound @ f10, torso	9999
9999	PR_KYRIE_GUARD	PR_KYRIE_GUARD	?	-	-	-	FUN_00603b30	0x24	guardK.tga + guardK2.tga	kyrie_guard	shield disc at target, 2-tex blend	100
