str	version	fps	maxKey	layers	frames	textures	blend(src/dst)
acidified_zone_fire_b_bottom.str	148	60	39	3	6	aci_slash_00.bmp;aci_slash_01.bmp;aci_slash_02.bmp;aci_slash_03.bmp;aci_slash_04.bmp	0/0;5/7
acidified_zone_fire_c.str	148	60	25	3	6	aci_water.tga;aci_water_a.bmp	0/0;5/6;5/7
acidified_zone_fire_cast.str	148	60	54	7	28	12tex	0/0;5/7
acidified_zone_fire_cast_bottom.str	148	60	59	7	28	aci_circle_00.bmp;aci_glow_1.tga;aci_m.bmp;aci_m.tga;aci_m_bg.bmp	0/0;5/6;5/7
acidified_zone_fire_hit.str	148	60	30	6	29	10tex	0/0;5/6;5/7
acidified_zone_fire_water.str	148	60	84	27	130	22tex	0/0;5/6;5/7
acidified_zone_ground_a.str	148	60	59	2	3	aci_ground.tga	0/0;5/6
acidified_zone_ground_a_loop.str	148	60	59	17	60	11tex	0/0;5/6;5/7
acidified_zone_ground_a_loop_bottom.str	148	60	59	2	3	aci_ground.tga	0/0;5/6
acidified_zone_ground_a_start.str	148	60	15	15	70	11tex	0/0;5/6;5/7
acidified_zone_ground_a_start_bottom.str	148	60	12	2	3	aci_ground.tga	0/0;5/6
acidified_zone_ground_b.str	148	60	39	11	40	27tex	0/0;5/6;5/7
acidified_zone_ground_b_bottom.str	148	60	39	4	11	6tex	0/0;5/6;5/7
acidified_zone_ground_c.str	148	60	25	3	6	aci_water.tga;aci_water_a.bmp	0/0;5/6;5/7
acidified_zone_ground_cast.str	148	60	54	12	55	aci_ster_00.bmp;aci_stone_p.tga	0/0;5/6;5/7
acidified_zone_ground_cast_bottom.str	148	60	59	7	28	aci_circle_00.bmp;aci_glow_1.tga;aci_m.bmp;aci_m.tga;aci_m_bg.bmp	0/0;5/6;5/7
acidified_zone_ground_hit.str	148	60	30	6	29	10tex	0/0;5/6;5/7
acidified_zone_ground_water.str	148	60	84	27	130	22tex	0/0;5/6;5/7
acidified_zone_water_a_loop.str	148	60	59	17	60	11tex	0/0;5/6;5/7
acidified_zone_water_a_loop_bottom.str	148	60	59	2	3	aci_target_grd_effect.tga	0/0;5/6
acidified_zone_water_a_start.str	148	60	12	15	70	11tex	0/0;5/6;5/7
acidified_zone_water_a_start_bottom.str	148	60	10	2	3	aci_target_grd_effect.tga	0/0;5/6
acidified_zone_water_b.str	148	60	39	11	40	27tex	0/0;5/6;5/7
acidified_zone_water_b_bottom.str	148	60	39	4	11	6tex	0/0;5/6;5/7
acidified_zone_water_c.str	148	60	25	3	6	aci_water.tga;aci_water_a.bmp	0/0;5/6;5/7
acidified_zone_water_c.str	148	60	25	3	6	aci_water.tga;aci_water_a.bmp	0/0;5/6;5/7
acidified_zone_water_cast.str	148	60	54	14	65	aci_snowflake_00.bmp;aci_ster_00.bmp	0/0;5/7
acidified_zone_water_cast_bottom.str	148	60	59	7	28	aci_circle_00.bmp;aci_glow_1.tga;aci_m.bmp;aci_m.tga;aci_m_bg.bmp	0/0;5/6;5/7
acidified_zone_water_hit.str	148	60	30	6	29	10tex	0/0;5/6;5/7
acidified_zone_water_water.str	148	60	84	27	130	22tex	0/0;5/6;5/7
acidified_zone_wind_a_loop.str	148	60	45	3	6	13tex	0/0;5/6;5/7
acidified_zone_wind_a_loop_bottom.str	148	60	45	3	6	13tex	0/0;5/6;5/7
acidified_zone_wind_a_start.str	148	60	10	3	6	aci_shine_00.bmp;aci_tornado_00.tga;aci_tornado_01.tga;aci_tornado_02.tga	0/0;5/6;5/7
acidified_zone_wind_a_start_bottom.str	148	60	10	2	3	aci_glow_3.tga	0/0;5/6
acidified_zone_wind_b.str	148	60	39	11	40	27tex	0/0;5/6;5/7
acidified_zone_wind_b_bottom.str	148	60	39	4	11	6tex	0/0;5/6;5/7
acidified_zone_wind_c.str	148	60	25	3	6	aci_water.tga;aci_water_a.bmp	0/0;5/6;5/7
acidified_zone_wind_cast.str	148	60	54	8	35	aci_ster_00.bmp	0/0;5/7
acidified_zone_wind_cast_bottom.str	148	60	59	11	40	15tex	0/0;5/6;5/7
acidified_zone_wind_hit.str	148	60	30	6	29	10tex	0/0;5/6;5/7
acidified_zone_wind_water.str	148	60	84	27	130	22tex	0/0;5/6;5/7
activity_burn.str	148	60	65	16	51	26tex	0/0;5/6;5/7
activity_burn_cast.str	148	60	51	16	57	16tex	0/0;5/6;5/7
activity_burn_cast_bottom.str	148	60	59	6	17	18tex	0/0;5/6;5/7
ado.str	148	60	55	5	26	ring_b.bmp;번개1.bmp;번개2.bmp;번개3.bmp	0/0;5/7
adrenaline.str	148	60	95	7	149	aaa copy.bmp;bbbb.bmp;pistor_o_p.bmp;poison_pistal.bmp	0/0;5/6;5/7
adv_protection.str	148	60	90	38	129	11tex	0/0;5/6;5/7
adv_protection_bottom.str	148	60	80	4	19	adv_bottom_00.bmp;adv_glow_00.tga	0/0;5/6;5/7
adv_protection_cast.str	148	60	60	3	36	adv_glow_00.tga	0/0;5/6;5/7
adv_protection_cast_bottom.str	148	60	60	5	20	adv_glow_00.tga;adv_shock_00.bmp	0/0;5/6;5/7
aimed.str	148	60	90	6	25	ring_b.bmp;ring_zigzag.bmp;target1.bmp;target2.bmp;target3.bmp	0/0;5/7
ain_rhapsody.str	148	60	40	13	40	ain_circle_01.bmp;ain_ring_01.tga;ain_shouting_01.tga	0/0;5/6;5/7
ain_rhapsody_cast.str	148	60	90	39	114	ain_mic_01.tga;ain_note_01.tga;ain_note_02.tga;ain_ring_01.tga	0/0;5/6;5/7
akumukesu.str	148	60	29	15	66	19tex	0/0;1/6;5/6;5/7
alice02.str	148	60	180	16	92	10tex	0/0;5/6;5/7
all_full_throttle.str	148	60	120	18	155	freeze.bmp;pika02.bmp;ring_b.bmp;throttle.bmp	0/0;5/7
allbloom.str	148	60	52	3	14	8tex	0/0;5/7
allbloom_bomb01.str	148	60	42	5	20	12tex	0/0;5/6;5/7
allbloom_bomb01_bottom.str	148	60	35	3	12	all_circle.bmp;all_crack_01.tga	0/0;5/6;5/7
allbloom_bomb02.str	148	60	42	5	20	12tex	0/0;5/6;5/7
allbloom_bomb02_bottom.str	148	60	35	3	12	all_circle.bmp;all_crack_01.tga	0/0;5/6;5/7
allbloom_bottom.str	148	60	375	6	33	all_flower.tga;all_garden_01.tga;all_ground.bmp	0/0;5/6;5/7
allbloom_cast.str	148	60	85	8	35	all_leaf_00.bmp;all_leaf_01.bmp;all_leaf_02.bmp	0/0;5/7
allbloom_cast_bottom.str	148	60	60	2	5	all_flare_01.bmp	0/0;5/7
allbloom_hit.str	148	60	22	2	5	6tex	0/0;5/7
allow.str	148	60	19	5	84	allow_a.bmp;allow_b.bmp	0/0;5/7
angel.str	148	60	104	37	816	8tex	0/0;5/7
angel_2nd.str	148	60	103	37	815	8tex	0/0;3/7;5/7
angel_fluttering.str	148	60	225	14	89	tenfe.bmp	0/0;5/7
angelus.str	148	60	236	11	585	14tex	0/0;2/1;5/7
ankokuryuuakumu_00.str	148	60	90	9	50	39tex	0/0;1/6
ankokuryuuakumu_01.str	148	60	89	7	26	30tex	0/0;1/6;5/7
antenpou.str	148	60	164	7	54	28tex	0/0;1/6
anti.str	148	60	80	3	14	anti1.bmp;anti2.bmp;anti3.bmp	0/0;5/7
arbitrium.str	148	60	130	19	95	arb_particle_1.bmp;arb_shine_1.bmp;arb_shine_3.bmp;arb_shine_4.bmp;arb_shine_4.tga	0/0;2/1;5/6;5/7
arbitrium_bottom.str	148	60	130	8	48	arb_circle_1.bmp;arb_circle_1.tga;arb_circle_2.bmp;arb_glow_1.tga	0/0;2/1;5/6;5/7
arbitrium_cast.str	148	60	50	4	15	arb_particle_1.bmp	0/0;5/7
arbitrium_cast_bottom.str	148	60	51	4	17	15tex	0/0;5/6;5/7
arbitrium_hit.str	148	60	17	9	38	7tex	0/0;5/7
ardor.str	148	60	49	30	87	23tex	0/0;5/7
ardor_bottom.str	148	60	55	4	9	16tex	0/0;5/6;5/7
ardor_cast.str	148	60	40	5	20	10tex	0/0;5/7
ardor_cast_bottom.str	148	60	40	2	3	11tex	0/0;5/7
ardor_flamearmor.str	148	60	119	22	93	24tex	0/0;5/6;5/7
ardor_flametechnic.str	148	60	24	5	14	16tex	0/0;5/6;5/7
ardor_flametechnic_bottom.str	148	60	39	5	20	11tex	0/0;5/6;5/7
ardor_hit.str	148	60	30	4	19	7tex	0/0;5/6;5/7
argutustelum.str	148	60	120	27	130	arg_glow_1.bmp;arg_particle_1.bmp;arg_particle_2.bmp;arg_shine_1.bmp;arg_shine_3.bmp	0/0;5/7
argutustelum_cast.str	148	60	120	7	30	arg_shine_1.bmp	0/0;5/7
argutusvita.str	148	60	120	25	120	arg_glow_1.bmp;arg_particle_1.bmp;arg_particle_2.bmp;arg_shine_1.bmp;arg_shine_3.bmp	0/0;5/7
argutusvita_cast.str	148	60	120	7	30	arg_shine_1.bmp	0/0;5/7
armscannon_explosion.str	148	60	50	8	33	25tex	0/0;5/6;5/7
armscannon_explosion.str	148	60	50	8	33	25tex	0/0;5/6;5/7
armscannon_explosion_bottom.str	148	60	55	4	19	arm_crack_1.bmp;arm_glow_4.bmp	0/0;5/6;5/7
armscannon_explosion_bottom.str	148	60	55	4	19	arm_crack_1.bmp;arm_glow_4.bmp	0/0;5/6;5/7
arrowshot.str	148	60	19	5	84	allow_a.bmp;allow_b.bmp	0/0;5/7
arrowstorm.str	148	60	90	16	75	allow_b.bmp;ring_b.bmp;ring_zigzag.bmp	0/0;5/7
aspersio.str	148	60	140	13	438	aspersio_cup .bmp;ring.bmp	0/0;5/7
assasin_poisonreact.str	148	60	111	3	40	ring_zigzag.bmp	0/0;5/7
assasin_poisonreact_1st.str	148	60	111	3	40	ring_zigzag.bmp	0/0;5/7
astra.str	148	60	180	9	44	astra.TGA;astra_s1.TGA;astra_s2.TGA;astra_s3.TGA;freeze_ice_part.bmp	0/0;5/6;5/7
astra.str	148	60	180	9	44	astra.TGA;astra_s1.TGA;astra_s2.TGA;astra_s3.TGA;freeze_ice_part.bmp	0/0;5/6;5/7
astralstrike.str	148	60	50	21	122	51tex	0/0;5/6;5/7
astralstrike_bottom.str	148	60	26	3	10	ast_flare_bottom_01.bmp	0/0;5/7
astralstrike_cast.str	148	60	120	9	48	13tex	0/0;5/7
astralstrike_cast_bottom.str	148	60	120	5	18	ast_magic_1.bmp;ast_magic_1.tga	0/0;5/6;5/7
astralstrike_sub_1.str	148	60	30	19	110	40tex	0/0;5/6;5/7
astralstrike_sub_1_bottom.str	148	60	26	3	10	ast_flare_bottom_01.bmp	0/0;5/7
astralstrike_sub_2.str	148	60	30	18	101	40tex	0/0;5/6;5/7
astralstrike_sub_2_bottom.str	148	60	26	3	10	ast_flare_bottom_01.bmp	0/0;5/7
astralstrike_sub_3.str	148	60	30	18	101	40tex	0/0;5/6;5/7
astralstrike_sub_3_bottom.str	148	60	59	3	11	ast_flare_bottom_01.bmp	0/0;2/1;5/7
asum.str	148	60	150	33	684	11tex	0/0;2/1;2/2;5/7
attack_stance.str	148	60	70	22	129	14tex	0/0;5/6;5/7
attack_stance_cast.str	148	60	59	6	25	10tex	0/0;5/7
attack_stance_cast_bottom.str	148	60	59	4	13	att_m.bmp;att_m.tga;att_m_glow.bmp	0/0;5/6;5/7
aura.str	148	60	79	17	68	11tex	0/0;5/7
auto_firing_launcher.str	148	60	49	11	32	aut_bottom_02_00.bmp;aut_bottom_02_01.bmp;aut_bottom_02_02.bmp;aut_bottom_02_03.bmp;aut_particle_01.bmp	0/0;5/7
auto_firing_launcher_bottom.str	148	60	71	4	21	12tex	0/0;5/6;5/7
autocounter.str	148	60	40	12	221	6tex	0/0;5/6;5/7
basic_grenade.str	148	60	70	17	68	25tex	0/0;5/7
basic_grenade_bottom.str	148	60	70	5	24	has_bottom_01.tga;has_bottom_02.tga;has_crack_01.tga;has_light_01.bmp	0/0;5/6;5/7
bbcat.str	148	60	120	4	19	55tex	0/0;5/6;5/7
benedictio.str	148	60	155	33	1324	8tex	0/0;5/6;5/7
benedictum.str	148	60	125	22	145	23tex	0/0;5/6;5/7
benedictum_cast.str	148	60	90	2	5	15tex	0/0;5/7
benedictum_cast_bottom.str	148	60	90	3	6	16tex	0/0;5/6;5/7
bite_scar.str	148	60	60	4	51	rat.bmp;rat_mask.bmp	0/0;1/3;2/2
black_hammerfall.str	148	60	78	12	257	explosive_1_128.bmp;hammer.bmp;lord_blast_f.bmp;smoke_mud.bmp;storn_a.bmp	0/0;5/6;5/7
black_maxmize.str	148	60	110	16	634	black_sword.bmp;lord_blast_e.bmp;magic_ring_a_s.bmp	0/0;5/7
black_sword_mini.str	148	60	103	6	75	black_sword.bmp;lord_blast_e.bmp	0/0;5/7
black_tortoise_end.str	148	60	9	3	6	tof_black_tortoise_00.bmp;tof_glow_01.tga	0/0;5/6;5/7
black_tortoise_loop.str	148	60	59	4	13	tof_black_tortoise_00.bmp;tof_glow_01.tga;tof_ring_00.bmp	0/0;5/6;5/7
black_tortoise_start.str	148	60	8	5	14	tof_black_tortoise_00.bmp;tof_glow_01.tga;tof_shock_01.bmp	0/0;5/6;5/7
blast mine.str	148	60	60	12	390	blast_stick.bmp;fire_blast.bmp;fire_smoke_b.bmp;lord_blast_d.bmp	0/0;5/7
blastmine.str	148	60	95	18	777	8tex	5/7
blessing_of_mystical_creatures.str	148	60	55	25	178	6tex	0/0;5/6;5/7
blessingsofsoul.str	148	60	180	23	160	7tex	0/0;5/7
blue_dragon_end.str	148	60	9	3	6	tof_blue_dragon_00.bmp;tof_glow_01.tga	0/0;5/6;5/7
blue_dragon_loop.str	148	60	59	4	13	tof_blue_dragon_00.bmp;tof_glow_01.tga;tof_ring_00.bmp	0/0;5/6;5/7
blue_dragon_start.str	148	60	8	5	14	tof_blue_dragon_00.bmp;tof_glow_01.tga;tof_shock_01.bmp	0/0;5/6;5/7
boom.str	148	60	50	29	260	fire_a.bmp;firering.bmp;invenom_ring.bmp;lens_r.bmp;pokjuk_c.bmp	0/0;5/7
bottom_crack.str	148	60	35	2	5	sav_bottom_crack_01.bmp	0/0;5/7
bowling.str	148	60	15	7	96	shockwave_c.bmp;shockwave_d.bmp;shockwave_e.bmp	5/7
brandish.str	148	60	51	20	318	6tex	0/0;5/7
brandish2.str	148	60	38	15	93	freeze_ice_part.bmp;lens_b.bmp;ring_b.bmp;safeline.bmp	0/0;5/7
breakinglimit.str	148	60	90	23	144	19tex	0/0;5/6;5/7
breakinglimit_buff.str	148	60	60	4	15	bre_flare_02.bmp;bre_glow_00.tga;bre_ring_00.bmp	0/0;5/6;5/7
bronz.str	148	60	80	19	80	18tex	0/0;5/6;5/7
bs_refinefailed.str	148	60	90	15	205	7tex	0/0;5/7
bs_refinesuccess.str	148	60	100	17	179	6tex	0/0;5/7
bubble.str	148	60	120	5	290	bubble_b.bmp;bubble_c.bmp;bubble_d.bmp	0/0;5/7
bubble1.str	148	60	120	4	287	bubble_c.bmp;bubble_d.bmp	0/0;5/7
bubble1_1.str	148	60	120	4	287	bubble_c1.bmp;bubble_d1.bmp	0/0;5/7
bubble2.str	148	60	120	5	383	bubble_c.bmp;bubble_d.bmp	0/0;5/7
bubble2_1.str	148	60	120	5	383	bubble_c1.bmp;bubble_d1.bmp	0/0;5/7
bubble3.str	148	60	120	4	287	bubble_c.bmp;bubble_d.bmp	0/0;5/7
bubble3_1.str	148	60	120	4	287	bubble_c1.bmp;bubble_d1.bmp	0/0;5/7
bubble4.str	148	60	120	3	215	bubble_d.bmp	0/0;5/7
bubble4_1.str	148	60	120	3	215	bubble_d1.bmp	0/0;5/7
bubblebubble.str	148	60	160	14	1181	bubble_c.bmp;bubble_d.bmp	0/0;5/7
bushinkpaint1.str	148	60	100	14	137	bgbush1.tga;cloud2-1.TGA;cloud3.TGA;leaf11.TGA	0/0;5/6;5/7
bushinkpaint2.str	148	60	100	15	140	bgbush2.tga;cloud2-1.TGA;cloud3.TGA;leaf11.TGA	0/0;5/6;5/7
c_ghost_effect.str	148	60	70	13	76	freeze_a_small.bmp;freeze_ice_part.bmp;ghoste1.bmp;ghoste2.bmp	0/0;5/7
c_maple_which_falls_rd.str	148	60	125	13	62	dandan1.bmp	0/0;5/7
c_popping_poring_aura.str	148	60	150	14	141	7tex	0/0;5/6;5/7
c_shining_angel_wing.str	148	60	180	14	89	enwing.bmp;pika02.bmp;snow3.bmp	0/0;5/7
calumitygale.str	148	60	34	13	42	25tex	0/0;5/6;5/7
calumitygale_cast.str	148	60	30	11	38	10tex	0/0;5/6;5/7
calumitygale_loop.str	148	60	27	4	15	17tex	0/0;5/6;5/7
cart.str	148	60	104	15	114	7tex	0/0;5/7
cartrevolution.str	148	60	60	12	121	explosive_1_128.bmp;invenom_ring.bmp;lens_b.bmp	0/0;5/7
cdhs.str	148	60	120	9	44	clover.tga;diamond.tga;heart.tga;spade.tga	0/0;5/6
chain_reaction_shot.str	148	60	14	7	26	14tex	0/0;5/6;5/7
chain_reaction_shot_cast.str	148	60	75	6	21	15tex	0/0;5/6;5/7
chain_reaction_shot_cast_bottom.str	148	60	75	20	69	23tex	0/0;5/6;5/7
chain_reaction_shot_hit.str	148	60	16	14	57	15tex	0/0;5/6;5/7
chain_reaction_shot_hitsub.str	148	60	43	15	42	8tex	0/0;5/6;5/7
chainlight.str	148	60	100	17	76	6tex	0/0;5/7
changematerial_fa.str	148	60	90	17	136	8tex	0/0;5/7
changematerial_su.str	148	60	90	19	152	8tex	0/0;5/7
cherryblossoms.str	148	60	180	20	93	freeze_ice_part.bmp;sfubuki1.tga;sfubuki2.tga;sfubuki3.tga;skurafubg.tga	0/0;5/6;5/7
chill.str	148	60	90	7	74	ice_block2.bmp	5/7
christmasx3.str	148	60	180	20	107	10tex	0/0;5/6;5/7
christmasx4.str	148	60	361	22	255	10tex	0/0;5/6;5/7
chul_ho_sonic_claw.str	148	60	20	7	42	chs_chul_ho_01.bmp;chs_chul_ho_02.bmp;chs_scratch_01.bmp	0/0;5/7
chul_ho_sonic_claw_wave_1.str	148	60	36	2	17	8tex	0/0;5/7
chul_ho_sonic_claw_wave_11.str	148	60	36	2	17	8tex	0/0;5/7
chul_ho_sonic_claw_wave_12.str	148	60	36	3	18	8tex	0/0;5/7
chul_ho_sonic_claw_wave_3.str	148	60	36	3	24	8tex	0/0;5/7
chul_ho_sonic_claw_wave_5.str	148	60	36	2	17	8tex	0/0;5/7
chul_ho_sonic_claw_wave_6.str	148	60	36	3	18	8tex	0/0;5/7
chul_ho_sonic_claw_wave_7.str	148	60	36	2	17	8tex	0/0;5/7
chul_ho_sonic_claw_wave_9.str	148	60	36	3	24	8tex	0/0;5/7
circle_directions_elements.str	148	60	65	36	233	26tex	0/0;5/6;5/7
circle_directions_elements_loop.str	148	60	120	13	54	cde_circle_loop_00.bmp;cde_circle_loop_01.bmp;cde_glow_00.tga;cde_particle_00.bmp	0/0;5/6;5/7
claymore.str	148	60	60	25	283	fire_blast.bmp;fire_smoke_b.bmp;lord_blast_c.bmp;lord_blast_d.bmp;pokjuk_c.bmp	0/0;5/7
climax.str	148	60	59	13	52	6tex	0/0;5/6;5/7
climax_bottom_1.str	148	60	59	3	10	cli_cast_00.bmp;cli_light.bmp	0/0;5/7
climax_bottom_2.str	148	60	59	3	10	cli_cast_00.bmp;cli_light_g.bmp	0/0;5/7
climax_bottom_3.str	148	60	59	3	10	cli_cast_00.bmp;cli_light.bmp	0/0;5/7
climax_bottom_4.str	148	60	59	3	10	cli_cast_00.bmp;cli_light.bmp	0/0;5/7
climax_bottom_5.str	148	60	59	3	10	cli_cast_00.bmp;cli_light.bmp	0/0;5/7
climax_cast.str	148	60	19	2	3	6tex	0/0;5/7
climax_cast_loop.str	148	60	59	15	54	27tex	0/0;5/7
climax_light.str	148	60	105	26	143	7tex	0/0;5/6;5/7
cloudh.str	148	60	80	5	30	freezesmall.bmp;light1.bmp;light2.bmp	0/0;5/7
cm.str	148	60	80	2	9	ome.bmp	0/0;5/7
coin2.str	148	60	151	6	83	coin001.bmp;coin002.bmp;coin003.bmp;coin004.bmp;coin005.bmp	0/0;5/7
colors_of_hyun_rok_darkness.str	148	60	54	4	15	12tex	0/0;5/7
colors_of_hyun_rok_earth.str	148	60	54	4	15	12tex	0/0;5/7
colors_of_hyun_rok_fire.str	148	60	54	4	15	12tex	0/0;5/7
colors_of_hyun_rok_reset.str	148	60	13	2	5	col_light_01.bmp	0/0;5/7
colors_of_hyun_rok_saint.str	148	60	54	4	15	12tex	0/0;5/7
colors_of_hyun_rok_water.str	148	60	54	4	15	12tex	0/0;5/7
colors_of_hyun_rok_wind.str	148	60	54	4	15	12tex	0/0;5/7
competentia.str	148	60	98	18	93	24tex	0/0;5/6;5/7
competentia_bottom.str	148	60	81	4	15	com_circle_01.bmp;com_glow_01.tga	0/0;5/6;5/7
competentia_cast.str	148	60	120	13	60	com_particle_2.bmp;com_shine_1.bmp	0/0;5/7
competentia_cast_particle.str	148	60	60	2	5	com_shine_00.bmp;com_shine_01.bmp	0/0;5/7
competentia_loop.str	148	60	89	8	35	com_shine_00.bmp;com_shine_01.bmp	0/0;5/7
competentia_loop_bottom.str	148	60	96	5	20	14tex	0/0;5/6;5/7
concentration.str	148	60	50	10	31	lens_b.bmp;pokjuk_c.bmp;pokjuk_d.bmp	0/0;5/7
conflagration.str	148	60	59	24	105	17tex	0/0;5/7
conflagration.str	148	60	120	11	46	26tex	0/0;5/7
conflagration.str	148	60	120	11	46	26tex	0/0;5/7
conflagration_bottom.str	148	60	59	3	6	con_ground.bmp;con_ground.tga	0/0;5/6;5/7
conflagration_cast.str	148	60	45	10	43	24tex	0/0;5/7
conflagration_cast_bottom.str	148	60	59	3	6	16tex	0/0;5/6;5/7
conflagration_hit.str	148	60	23	7	24	26tex	0/0;5/7
cook_fail.str	148	60	110	14	199	11tex	0/0;5/7
cook_suc.str	148	60	90	13	170	9tex	0/0;5/7;7/5
crash earth.str	148	60	78	12	257	explosive_1_128.bmp;hammer.bmp;lord_blast_f.bmp;smoke_mud.bmp;storn_a.bmp	0/0;5/6;5/7
crashearth.str	148	60	79	13	298	explosive_1_128.bmp;hammer.bmp;lord_blast_f.bmp;smoke_mud.bmp;storn_a.bmp	0/0;5/6;5/7
crescivebolt.str	148	60	60	7	35	19tex	0/0;2/1;5/6;5/7
crescivebolt_cast.str	148	60	40	13	38	23tex	0/0;5/6;5/7
crescivebolt_hit.str	148	60	20	6	21	7tex	0/0;5/6;5/7
crimson_r.str	148	60	120	14	157	11tex	0/0;5/7
crimsonarrow.str	148	60	31	13	54	40tex	0/0;5/6;5/7
crimsonarrow_cast.str	148	60	33	5	12	cri_cast_00.bmp;cri_cast_01.bmp;cri_cast_02.bmp;cri_cast_03.bmp	0/0;5/7
crimsonarrow_cast_bottom.str	148	60	33	4	15	13tex	0/0;5/7
crimsonarrow_hit.str	148	60	23	9	32	32tex	0/0;5/7
